vehicle_id,seq,动作,订单,类型,到达,服务开始,服务结束,时间窗,等待(min),延误(min),乘车(min),超额(min),标记
0,1,取 P57,57,乘客,10:16,11:37,11:40,11:37-12:37,81.7,0,—,—,—
0,2,取 P54,54,乘客,11:42,11:42,11:45,11:25-12:25,0,0,—,—,—
0,3,取 P84,84,乘客,11:45,11:45,11:48,11:17-12:17,0,0,—,—,—
0,4,送 D84,84,乘客,11:59,11:59,12:02,11:31-13:31,0,0,11.0,0,—
0,5,送 D54,54,乘客,12:13,12:13,12:16,11:43-13:43,0,0,28.1,12.8,⚠超额违规
0,6,送 D57,57,乘客,12:23,12:23,12:26,11:55-13:55,0,0,43.0,28.8,⚠超额违规
0,7,取 P87,87,乘客,12:28,12:28,12:31,12:09-13:09,0,0,—,—,—
0,8,取 P5,5,货物,12:39,12:39,12:42,11:43-12:43,0,0,—,—,—
0,9,送 D5,5,货物,12:46,12:46,12:49,11:49-13:49,0,0,—,—,—
0,10,送 D87,87,乘客,13:03,13:03,13:06,12:30-14:30,0,0,31.3,13.8,⚠超额违规
0,11,取 P94,94,乘客,13:09,13:09,13:12,12:28-13:28,0,0,—,—,—
0,12,取 P4,4,乘客,13:29,13:29,13:32,13:11-14:11,0,0,—,—,—
0,13,送 D94,94,乘客,13:43,13:43,13:46,12:40-14:40,0,0,30.6,22.0,⚠超额违规
0,14,送 D4,4,乘客,13:47,13:47,13:50,13:26-15:26,0,0,14.7,3.2,⚠超额违规
1,1,取 P72,72,乘客,10:13,12:39,12:42,12:39-13:39,145.9,0,—,—,—
1,2,取 P32,32,乘客,12:59,12:59,13:02,12:24-13:24,0,0,—,—,—
1,3,取 P1,1,货物,13:12,13:12,13:15,13:05-14:05,0,0,—,—,—
1,4,送 D72,72,乘客,13:17,13:17,13:20,12:49-14:49,0,0,35.0,27.5,⚠超额违规
1,5,送 D1,1,货物,13:29,13:29,13:32,13:18-15:18,0,0,—,—,—
1,6,送 D32,32,乘客,13:37,13:37,13:40,12:44-14:44,0,0,35.1,18.0,⚠超额违规
1,7,取 P34,34,乘客,13:47,13:47,13:50,12:56-13:56,0,0,—,—,—
1,8,取 P27,27,乘客,13:55,13:55,13:58,13:20-14:20,0,0,—,—,—
1,9,取 P67,67,乘客,14:10,14:10,14:13,13:25-14:25,0,0,—,—,—
1,10,送 D27,27,乘客,14:16,14:16,14:19,13:39-15:39,0,0,18.7,3.0,⚠超额违规
1,11,送 D34,34,乘客,14:30,14:30,14:33,13:09-15:09,0,0,39.8,29.4,⚠超额违规
1,12,送 D67,67,乘客,14:37,14:37,14:40,13:37-15:37,0,0,24.8,16.2,⚠超额违规
1,13,取 P90,90,乘客,14:47,14:47,14:50,14:11-15:11,0,0,—,—,—
1,14,送 D90,90,乘客,15:01,15:01,15:04,14:24-16:00,0,0,10.9,0,—
2,1,取 P85,85,乘客,10:10,12:20,12:23,12:20-13:20,129.9,0,—,—,—
2,2,取 P39,39,乘客,12:27,12:27,12:30,11:53-12:53,0,0,—,—,—
2,3,取 P23,23,乘客,12:32,12:32,12:35,11:33-12:33,0,0,—,—,—
2,4,送 D85,85,乘客,12:48,12:48,12:51,12:31-14:31,0,0,25.0,17.7,⚠超额违规
2,5,送 D23,23,乘客,12:57,12:57,13:00,11:47-13:47,0,0,21.3,10.8,⚠超额违规
2,6,送 D39,39,乘客,13:14,13:14,13:17,12:12-14:12,0,0,44.2,28.4,⚠超额违规
2,7,取 P35,35,乘客,13:34,13:34,13:37,12:58-13:58,0,0,—,—,—
2,8,取 P40,40,乘客,13:57,13:57,14:00,13:25-14:25,0,0,—,—,—
2,9,取 P26,26,货物,14:00,14:00,14:03,13:11-14:11,0,0,—,—,—
2,10,送 D35,35,乘客,14:21,14:21,14:24,13:15-15:15,0,0,43.4,29.4,⚠超额违规
2,11,送 D40,40,乘客,14:34,14:34,14:37,13:37-15:37,0,0,34.0,25.1,⚠超额违规
2,12,送 D26,26,货物,14:41,14:41,14:44,13:19-15:19,0,0,—,—,—
3,1,取 P68,68,乘客,10:14,12:20,12:23,12:20-13:20,125.9,0,—,—,—
3,2,取 P46,46,乘客,12:28,12:28,12:31,12:06-13:06,0,0,—,—,—
3,3,取 P69,69,乘客,12:36,12:36,12:39,12:04-13:04,0,0,—,—,—
3,4,取 P66,66,乘客,12:46,12:46,12:49,12:41-13:41,0,0,—,—,—
3,5,送 D68,68,乘客,12:54,12:54,12:57,12:32-14:32,0,0,31.1,22.0,⚠超额违规
3,6,送 D46,46,乘客,13:04,13:04,13:07,12:17-14:17,0,0,33.4,24.7,⚠超额违规
3,7,送 D69,69,乘客,13:16,13:16,13:19,12:16-14:16,0,0,36.9,27.7,⚠超额违规
3,8,送 D66,66,乘客,13:25,13:25,13:28,12:57-14:57,0,0,35.8,22.3,⚠超额违规
3,9,取 P41,41,乘客,13:40,13:40,13:43,12:55-13:55,0,0,—,—,—
3,10,取 P73,73,乘客,13:46,13:46,13:49,13:12-14:12,0,0,—,—,—
3,11,取 P33,33,货物,13:52,13:52,13:55,13:37-14:37,0,0,—,—,—
3,12,送 D41,41,乘客,14:09,14:09,14:12,13:11-15:11,0,0,26.6,14.0,⚠超额违规
3,13,送 D33,33,货物,14:15,14:15,14:18,13:55-15:55,0,0,—,—,—
3,14,送 D73,73,乘客,14:41,14:41,14:44,13:40-15:40,0,0,52.0,27.4,⚠超额违规
4,1,取 P74,74,乘客,10:16,12:15,12:18,12:15-13:15,118.6,0,—,—,—
4,2,取 P52,52,乘客,12:21,12:21,12:24,11:49-12:49,0,0,—,—,—
4,3,取 P38,38,乘客,12:26,12:26,12:29,11:45-12:45,0,0,—,—,—
4,4,取 P88,88,货物,12:31,12:31,12:34,11:53-12:53,0,0,—,—,—
4,5,取 P65,65,货物,12:36,12:36,12:39,12:19-13:19,0,0,—,—,—
4,6,送 D74,74,乘客,12:44,12:44,12:47,12:25-14:25,0,0,26.7,19.0,⚠超额违规
4,7,送 D38,38,乘客,13:04,13:04,13:07,12:02-14:02,0,0,34.8,21.3,⚠超额违规
4,8,送 D52,52,乘客,13:14,13:14,13:17,12:12-14:12,0,0,50.0,29.8,⚠超额违规
4,9,送 D65,65,货物,13:30,13:30,13:33,12:29-14:29,0,0,—,—,—
4,10,送 D88,88,货物,13:40,13:40,13:43,11:57-13:57,0,0,—,—,—
4,11,取 P9,9,乘客,14:07,14:07,14:10,13:17-14:17,0,0,—,—,—
4,12,送 D9,9,乘客,14:38,14:38,14:41,13:47-15:47,0,0,27.2,0,—
5,1,取 P76,76,乘客,10:11,11:24,11:27,11:24-12:24,72.1,0,—,—,—
5,2,取 P70,70,乘客,11:29,11:29,11:32,11:09-12:09,0,0,—,—,—
5,3,取 P82,82,乘客,11:51,11:51,11:54,11:14-12:14,0,0,—,—,—
5,4,送 D76,76,乘客,12:03,12:03,12:06,11:37-13:37,0,0,36.6,26.4,⚠超额违规
5,5,送 D70,70,乘客,12:10,12:10,12:13,11:20-13:20,0,0,37.5,29.9,⚠超额违规
5,6,取 P79,79,货物,12:17,12:17,12:20,11:20-12:20,0,0,—,—,—
5,7,取 P37,37,货物,12:22,12:22,12:25,11:34-12:34,0,0,—,—,—
5,8,送 D82,82,乘客,12:27,12:27,12:30,11:25-13:25,0,0,33.0,24.6,⚠超额违规
5,9,送 D79,79,货物,12:38,12:38,12:41,11:33-13:33,0,0,—,—,—
5,10,送 D37,37,货物,12:50,12:50,12:53,11:49-13:49,0,0,—,—,—
5,11,取 P43,43,乘客,13:11,13:11,13:14,13:10-14:10,0,0,—,—,—
5,12,取 P89,89,乘客,13:19,13:19,13:22,13:05-14:05,0,0,—,—,—
5,13,送 D89,89,乘客,13:30,13:30,13:33,13:16-15:16,0,0,8.1,0,—
5,14,取 P83,83,乘客,13:38,13:38,13:41,12:56-13:56,0,0,—,—,—
5,15,送 D43,43,乘客,13:48,13:48,13:51,13:20-15:20,0,0,33.6,26.4,⚠超额违规
5,16,送 D83,83,乘客,13:57,13:57,14:00,13:11-15:11,0,0,16.0,5.0,⚠超额违规
6,1,取 P75,75,乘客,10:09,11:23,11:26,11:23-12:23,74.5,0,—,—,—
6,2,取 P49,49,乘客,11:32,11:32,11:35,10:33-11:33,0,0,—,—,—
6,3,取 P56,56,货物,11:39,11:39,11:42,10:41-11:41,0,0,—,—,—
6,4,送 D49,49,乘客,11:48,11:48,11:51,10:44-12:44,0,0,13.3,5.9,⚠超额违规
6,5,取 P51,51,乘客,12:02,12:02,12:05,11:25-12:25,0,0,—,—,—
