step,vehicle_id,action,order_id,kind,service_start_h,service_end_h,tw_start_h,tw_end_h,late_min,passenger_ride_min
0,0,visit,72,PICKUP_PASSENGER,12.6475,12.6975,12.6475,13.6475,0.0,
1,0,visit,35,PICKUP_PASSENGER,13.0114,13.0614,12.9657,13.9657,0.0,
2,0,visit,1,PICKUP_CARGO,13.2401,13.2901,13.0868,14.0868,0.0,
3,0,visit,72,DELIVERY_PASSENGER,13.3135,13.3635,12.8216,14.8216,0.0,
4,0,visit,4,PICKUP_PASSENGER,13.4832,13.5332,13.1903,14.1903,0.0,
5,0,visit,3,PICKUP_CARGO,13.5681,13.6181,11.9634,12.9634,36.28,
6,0,visit,35,DELIVERY_PASSENGER,13.7906,13.8406,13.2501,15.2501,0.0,
7,0,visit,4,DELIVERY_PASSENGER,14.1916,14.2416,13.4333,15.4333,0.0,
8,0,visit,90,PICKUP_PASSENGER,14.4269,14.4769,14.1751,15.1751,0.0,
9,0,visit,63,PICKUP_PASSENGER,14.4937,14.5437,14.2316,15.2316,0.0,
10,0,visit,100,PICKUP_CARGO,14.5775,14.6275,10.0918,11.0918,209.15,
11,0,visit,3,DELIVERY_CARGO,14.6776,14.7276,12.1005,14.1005,34.62,
12,0,visit,90,DELIVERY_PASSENGER,14.8539,14.9039,14.4064,16.0,0.0,
13,0,visit,100,DELIVERY_CARGO,14.9576,15.0076,10.3299,12.3299,157.66,
14,0,visit,63,DELIVERY_PASSENGER,15.0371,15.0871,14.5184,16.0,0.0,
15,0,visit,1,DELIVERY_CARGO,15.2158,15.2658,13.2926,15.2926,0.0,
17,1,visit,68,PICKUP_PASSENGER,12.3303,12.3803,12.3303,13.3303,0.0,
18,1,visit,66,PICKUP_PASSENGER,12.6792,12.7292,12.6792,13.6792,0.0,
19,1,visit,46,PICKUP_PASSENGER,12.8037,12.8537,12.0966,13.0966,0.0,
20,1,visit,59,PICKUP_CARGO,12.9458,12.9958,12.7368,13.7368,0.0,
21,1,visit,68,DELIVERY_PASSENGER,13.0217,13.0717,12.5318,14.5318,0.0,
22,1,visit,92,PICKUP_CARGO,13.1454,13.1954,12.6848,13.6848,0.0,
23,1,visit,78,PICKUP_CARGO,13.2546,13.3046,10.8609,11.8609,83.62,
24,1,visit,46,DELIVERY_PASSENGER,13.3273,13.3773,12.2911,14.2911,0.0,
25,1,visit,66,DELIVERY_PASSENGER,13.4495,13.4995,12.9529,14.9529,0.0,
26,1,visit,40,PICKUP_PASSENGER,13.7372,13.7872,13.4215,14.4215,0.0,
27,1,visit,89,PICKUP_PASSENGER,13.8437,13.8937,13.0889,14.0889,0.0,
28,1,visit,59,DELIVERY_CARGO,13.9371,13.9871,13.0099,15.0099,0.0,
29,1,visit,89,DELIVERY_PASSENGER,14.1413,14.1913,13.2743,15.2743,0.0,
30,1,visit,40,DELIVERY_PASSENGER,14.3831,14.4331,13.6193,15.6193,0.0,
31,1,visit,78,DELIVERY_CARGO,14.5567,14.6067,11.0693,13.0693,89.24,
32,1,visit,92,DELIVERY_CARGO,14.8213,14.8713,12.9246,14.9246,0.0,
34,2,visit,74,PICKUP_PASSENGER,12.2471,12.2971,12.2471,13.2471,0.0,
35,2,visit,87,PICKUP_PASSENGER,12.6014,12.6514,12.1559,13.1559,0.0,
36,2,visit,74,DELIVERY_PASSENGER,12.9047,12.9547,12.4242,14.4242,0.0,
37,2,visit,87,DELIVERY_PASSENGER,13.4085,13.4585,12.4979,14.4979,0.0,
38,2,visit,9,PICKUP_PASSENGER,13.5544,13.6044,13.2776,14.2776,0.0,
39,2,visit,67,PICKUP_PASSENGER,13.8833,13.9333,13.4196,14.4196,0.0,
40,2,visit,67,DELIVERY_PASSENGER,14.0761,14.1261,13.6124,15.6124,0.0,
41,2,visit,64,PICKUP_CARGO,14.2587,14.3087,13.2783,14.2783,0.0,
42,2,visit,9,DELIVERY_PASSENGER,14.5277,14.5777,13.7811,15.7811,0.0,
43,2,visit,64,DELIVERY_CARGO,14.7098,14.7598,13.5608,15.5608,0.0,
45,3,visit,69,PICKUP_PASSENGER,12.0712,12.1212,12.0712,13.0712,0.0,
46,3,visit,32,PICKUP_PASSENGER,12.4294,12.4794,12.4053,13.4053,0.0,
47,3,visit,48,PICKUP_CARGO,12.5123,12.5623,10.0691,11.0691,86.59,
48,3,visit,69,DELIVERY_PASSENGER,12.7707,12.8207,12.2748,14.2748,0.0,
49,3,visit,34,PICKUP_PASSENGER,12.9373,12.9873,12.9329,13.9329,0.0,
50,3,visit,99,PICKUP_CARGO,13.0021,13.0521,10.84,11.84,69.73,
51,3,visit,32,DELIVERY_PASSENGER,13.1583,13.2083,12.7415,14.7415,0.0,
52,3,visit,27,PICKUP_PASSENGER,13.341,13.391,13.341,14.341,0.0,
53,3,visit,34,DELIVERY_PASSENGER,13.4966,13.5466,13.1568,15.1568,0.0,
54,3,visit,43,PICKUP_PASSENGER,13.7128,13.7628,13.1602,14.1602,0.0,
55,3,visit,27,DELIVERY_PASSENGER,13.779,13.829,13.6523,15.6523,0.0,
56,3,visit,43,DELIVERY_PASSENGER,13.9372,13.9872,13.3304,15.3304,0.0,
57,3,visit,26,PICKUP_CARGO,14.1013,14.1513,13.1821,14.1821,0.0,
58,3,visit,26,DELIVERY_CARGO,14.2393,14.2893,13.3201,15.3201,0.0,
59,3,visit,48,DELIVERY_CARGO,14.5018,14.5518,10.3533,12.3533,128.91,
60,3,visit,99,DELIVERY_CARGO,14.5988,14.6488,11.003,13.003,95.75,
62,4,visit,85,PICKUP_PASSENGER,12.3383,12.3883,12.3383,13.3383,0.0,
63,4,visit,39,PICKUP_PASSENGER,12.4543,12.5043,11.8871,12.8871,0.0,
