vehicle_id,serve_count,pickup_count,delivery_count,reject_count,first_start_h,last_end_h,late_count,max_late_min,max_passenger_ride_min
0,16,8,8,0,12.6475,15.2658,4,209.15,0.0
1,16,8,8,0,12.3303,14.8713,2,89.24,0.0
2,10,5,5,0,12.2471,14.7598,0,0.0,0.0
3,16,8,8,0,12.0712,14.6488,4,128.91,0.0
4,14,7,7,0,12.3383,15.0303,4,136.81,0.0
5,12,6,6,0,11.8221,14.3354,2,65.44,0.0
6,16,8,8,0,12.465,15.138,12,148.29,0.0
7,16,8,8,0,11.4883,14.0127,9,102.94,0.0
8,8,4,4,0,11.3853,13.5993,0,0.0,0.0
9,12,6,6,0,11.3922,13.8763,3,86.37,0.0
10,8,4,4,0,10.8917,13.3876,0,0.0,0.0
11,10,5,5,0,11.0772,13.6248,3,48.82,0.0
12,10,5,5,0,11.1552,13.2199,2,64.86,0.0
13,4,2,2,0,10.9037,11.6704,0,0.0,0.0
14,6,3,3,0,10.6386,12.0376,0,0.0,0.0
15,8,4,4,0,10.3574,11.9268,0,0.0,0.0
16,6,3,3,0,10.2693,11.2806,0,0.0,0.0
17,0,0,0,6,,,0,0.0,0.0
