vehicle_id,seq,动作,订单,类型,到达,服务开始,服务结束,时间窗,等待(min),延误(min),乘车(min),超额(min),标记
0,1,取,33,乘客,11:31,11:31,11:34,11:31-12:31,0.0,0.0,—,—,—
0,2,取,5,乘客,11:37,11:37,11:40,11:22-12:22,0.0,0.0,—,—,—
0,3,取,34,乘客,11:41,11:41,11:44,10:50-11:50,0.0,0.0,—,—,—
0,4,取,36,乘客,11:49,11:49,11:52,10:50-11:50,0.0,0.0,—,—,—
0,5,送,33,乘客,11:56,11:56,11:59,11:42-13:42,0.0,0.0,21.9,14.2,—
0,6,送,5,乘客,12:11,12:11,12:14,11:35-13:35,0.0,0.0,31.5,21.6,—
0,7,送,36,乘客,12:20,12:20,12:23,11:01-13:01,0.0,0.0,27.7,20.0,—
0,8,送,34,乘客,12:31,12:31,12:34,11:10-13:10,0.0,0.0,47.0,29.9,—
0,9,取,63,乘客,12:50,12:50,12:53,11:59-12:59,0.0,0.0,—,—,—
0,10,取,78,乘客,12:58,12:58,13:01,12:01-13:01,0.0,0.0,—,—,—
0,11,取,75,乘客,13:06,13:06,13:09,12:10-13:10,0.0,0.0,—,—,—
0,12,送,75,乘客,13:17,13:17,13:20,12:21-14:21,0.0,0.0,8.1,0.0,—
0,13,送,63,乘客,13:27,13:27,13:30,12:11-14:11,0.0,0.0,34.1,25.1,—
0,14,送,78,乘客,13:41,13:41,13:44,12:14-14:14,0.0,0.0,39.6,29.5,—
1,1,取,72,乘客,12:29,12:29,12:32,12:29-13:29,0.0,0.0,—,—,—
1,2,取,29,乘客,12:49,12:49,12:52,11:50-12:50,0.0,0.0,—,—,—
1,3,送,72,乘客,13:02,13:02,13:05,12:40-14:40,0.0,0.0,30.0,22.5,—
1,4,取,25,乘客,13:20,13:20,13:23,13:18-14:18,0.0,0.0,—,—,—
1,5,送,29,乘客,13:28,13:28,13:31,12:01-14:01,0.0,0.0,36.4,27.9,—
1,6,取,10,乘客,13:37,13:41,13:44,13:41-14:41,4.1,0.0,—,—,—
1,7,送,25,乘客,13:53,13:53,13:56,13:31-15:31,0.0,0.0,29.6,20.2,—
1,8,送,10,乘客,14:11,14:11,14:14,13:52-15:52,0.0,0.0,27.1,19.7,—
1,9,取,12,乘客,14:33,14:33,14:36,13:38-14:38,0.0,0.0,—,—,—
1,10,送,12,乘客,14:50,14:50,14:53,13:55-15:55,0.0,0.0,14.2,0.0,—
